INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_053148.wav,3.069,2024-06-16,05:31:48,5,2024-06-15,17:31:48,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,Y4WmjM4uBDFa97Y1dypgQQ==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_205556.wav,3.061,2024-06-16,20:55:56,20,2024-06-16,08:55:56,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,Q+c9Lxl5uMSo/nQ81uWigQ==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_052013.wav,3.179,2024-06-16,05:20:13,5,2024-06-15,17:20:13,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,Q0jyHoALLnf9kCHncfxjmw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051919.wav,3.178,2024-06-16,05:19:19,5,2024-06-15,17:19:19,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,hulnCqt8PPdEYNcvRM4puw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_205631.wav,3.064,2024-06-16,20:56:31,20,2024-06-16,08:56:31,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,sGpsU24olra5LHBlo9RN6Q==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_205652.wav,3.093,2024-06-16,20:56:52,20,2024-06-16,08:56:52,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,7YFuPkP6liX5BtAaRiJ3rw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_205715.wav,3.12,2024-06-16,20:57:15,20,2024-06-16,08:57:15,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,9PcBJZ/sqlodJjonsTiaEw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_205752.wav,3.076,2024-06-16,20:57:52,20,2024-06-16,08:57:52,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,L040V6wzpUPBxRFAoHk3ug==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_205734.wav,3.071,2024-06-16,20:57:34,20,2024-06-16,08:57:34,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,V9dwXOV5n3xgr7YSXydmOA==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_205809.wav,3.057,2024-06-16,20:58:09,20,2024-06-16,08:58:09,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,4CA9Z797qhsG45gy8601Xw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_205827.wav,3.073,2024-06-16,20:58:27,20,2024-06-16,08:58:27,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,9HbUdJibIHoXgq91MSv4Wg==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_205946.wav,3.073,2024-06-16,20:59:46,20,2024-06-16,08:59:46,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,UnyHRfjnjwmwNjHmMPfjfA==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_205859.wav,3.44,2024-06-16,20:58:59,20,2024-06-16,08:58:59,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,gKYZHVBX7PaeOcKmEpxtkw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_205925.wav,3.063,2024-06-16,20:59:25,20,2024-06-16,08:59:25,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,J/RrF/IELWl5kTJJPDrOzA==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_210206.wav,3.064,2024-06-16,21:02:06,21,2024-06-16,09:02:06,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,HHhmOU8mP5SdycfmPNUW2w==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_210232.wav,3.078,2024-06-16,21:02:32,21,2024-06-16,09:02:32,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,nNxUghCla2/EjeD07csjxg==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_210144.wav,5.824,2024-06-16,21:01:44,21,2024-06-16,09:01:44,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,unG5yYJ5SkYzZoE2McElQw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_210254.wav,3.072,2024-06-16,21:02:54,21,2024-06-16,09:02:54,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,t4HX1SnuDtcspGNjJsrCAw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_210308.wav,3.075,2024-06-16,21:03:08,21,2024-06-16,09:03:08,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,f7xrjtqUtP4jpxrmIXx0yQ==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_210324.wav,3.078,2024-06-16,21:03:24,21,2024-06-16,09:03:24,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,YyMh2O05vemsy0lvLwvJXQ==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_210337.wav,3.076,2024-06-16,21:03:37,21,2024-06-16,09:03:37,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,xBuvISz7DImrpxZs+ILjew==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_210350.wav,3.081,2024-06-16,21:03:50,21,2024-06-16,09:03:50,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,aAvrCRoHdBv0mjudtedEEQ==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_210407.wav,3.073,2024-06-16,21:04:07,21,2024-06-16,09:04:07,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,HybmngUXTOw5GHF0DciMTQ==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_210419.wav,3.071,2024-06-16,21:04:19,21,2024-06-16,09:04:19,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,oRnP3pLbgHtOWN1KM4R70w==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_210448.wav,3.078,2024-06-16,21:04:48,21,2024-06-16,09:04:48,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,QEM5vBtWy9CyYSUluPdF4w==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_210501.wav,3.084,2024-06-16,21:05:01,21,2024-06-16,09:05:01,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,JFjSNIH7g8m2DcvB8JSy8A==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_210432.wav,5.12,2024-06-16,21:04:32,21,2024-06-16,09:04:32,9,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,qT1FiAvRX+czHhCMr7PAnA==
